song,date,artist,this_week,last_week,peak_position,weeks_on_chart,mbid,danceability,genre,gender,mood,instrumental,bpm,key,loudness,mood_happy
A Minute Of Your Time,1969-01-11,Tom Jones,55,68.0,55,4,9f5df474-50a9-472d-9db1-4ee5db248902,,,,,,,,,
"Ob-La-Di, Ob-La-Da",1969-01-11,Arthur Conley,56,88.0,56,2,3b965fa8-5fc8-483b-83de-9d54f4898d20,not_danceable,roc,female,not_aggressive,voice,122.23777771,G,0.872825503349,happy
Malinda,1969-01-11,Bobby Taylor & The Vancouvers,57,48.0,48,6,ff70c505-9e73-44b0-8ded-a86451dfdffd,not_danceable,rhy,male,not_aggressive,voice,184.570495605,A,0.897041082382,happy
Feelin' So Good (S.k.o.o.b.y-D.o.o),1969-01-11,The Archies,63,78.0,63,3,a08b334b-75a6-435c-9c5a-707661ee5e6f,,,,,,,,,
Does Anybody Know I'm Here,1969-01-11,The Dells,64,66.0,64,3,b0f7df5d-9968-47c9-a8be-4efdc261dbbd,,,,,,,,,
This Magic Moment,1969-01-11,Jay & The Americans,65,79.0,65,3,8b142fe2-71d4-42be-87a5-59e33aeedfc8,,,,,,,,,
I Can't Turn You Loose,1969-01-11,The Chambers Brothers,67,50.0,37,8,66620608-cc92-4521-897e-f271cca63068,,,,,,,,,
Isn't It Lonely Together,1969-01-11,O.C. Smith,68,63.0,63,5,bb88086c-5cb4-4512-98dd-f19ae5a55025,,,,,,,,,
Just Ain't No Love,1969-01-11,Barbara Acklin,69,67.0,67,9,3d519299-a477-4247-8e2d-56e0dc77a068,not_danceable,roc,female,not_aggressive,voice,119.248832703,G,0.936420500278,happy
You Got Soul,1969-01-11,Johnny Nash,70,72.0,70,5,c06609dd-71c6-42db-9aea-3ab17d84b0f3,not_danceable,rhy,female,not_aggressive,voice,,,,happy
White Houses,1969-01-11,Eric Burdon & The Animals,71,71.0,67,8,670faba5-47f5-4a25-a888-1cca79e77d73,,,,,,,,,
You Showed Me,1969-01-11,The Turtles,72,90.0,72,2,2a957c89-e3ea-4229-b5c4-7aff1a955395,not_danceable,jaz,male,not_aggressive,voice,91.4400482178,C,0.610091388226,not_happy
"Sweet Cream Ladies, Forward March",1969-01-11,The Box Tops,73,85.0,73,3,cdd1d25a-aff7-429a-b867-f42490c0317b,danceable,rhy,male,not_aggressive,voice,96.2343292236,C#,0.914052903652,not_happy
Condition Red,1969-01-11,The Goodees,74,74.0,74,4,efd1204c-18fe-4bb1-ac6e-2e1c0d9e9805,danceable,rhy,female,not_aggressive,instrumental,143.064147949,F,0.743935227394,happy
Not On The Outside,1969-01-11,The Moments,75,75.0,75,3,d511d873-a4d7-4ad4-90b2-2e9af2fbf8f0,,,,,,,,,
Chitty Chitty Bang Bang,1969-01-11,Paul Mauriat,77,76.0,76,8,3c15ce9d-131b-46cb-a8f8-3916746d6094,,,,,,,,,
Rain In My Heart,1969-01-11,Frank Sinatra,81,82.0,81,2,89039afe-bc2c-460e-b22c-f117d77c70f7,not_danceable,jaz,male,not_aggressive,voice,172.26574707,B,0.195027917624,not_happy
Things I'd Like To Say,1969-01-11,New Colony Six,82,96.0,82,3,3879d29c-2eb3-41ce-aecd-f44e5ad0e59b,,,,,,,,,
Goodnight My Love,1969-01-11,Paul Anka,83,100.0,83,2,de3b3189-fe82-45bf-80b4-156e0d96eb51,not_danceable,jaz,male,not_aggressive,voice,100.845161438,A#,0.167076528072,not_happy
The Thought Of Loving You,1969-01-11,The Crystal Mansion,84,95.0,84,4,b5dc98e1-27bc-4ca5-9243-aaa4921ea511,,,,,,,,,
She's A Lady,1969-01-11,John Sebastian,85,89.0,85,2,55594ec6-493b-4a07-830b-79b599bccef1,,,,,,,,,
Eloise,1969-01-11,Barry Ryan,86,91.0,86,3,2edb8468-f2b6-4552-a19d-7a98a616e7bf,,,,,,,,,
Tit For Tat (Ain't No Taking Back),1969-01-11,James Brown,87,86.0,86,4,b90f2e6a-5523-441c-b74f-22454fe132ae,not_danceable,rhy,male,not_aggressive,voice,131.891281128,D,0.855616986752,happy
Vance,1969-01-11,Roger Miller,88,80.0,80,6,f2f39761-1f1b-42cb-b950-28e74af8cb5a,,,,,,,,,
Games People Play,1969-01-11,Joe South,91,,91,1,49df26b1-fa90-48f3-a29d-5b9fba0071e7,,,,,,,,,
You've Got The Power,1969-01-11,The Esquires,93,93.0,93,3,d5f39235-88c7-49fa-b7a8-da6451506489,danceable,jaz,male,not_aggressive,voice,121.717781067,G#,0.913434743881,happy
Looking Back,1969-01-11,Joe Simon,94,94.0,91,4,63c27a99-1670-4af1-95b9-de49fb6167df,,,,,,,,,
If I Only Had Time,1969-01-11,Nick DeCaro,95,,95,1,5f88cfca-faa5-45ff-941f-b89f041bd3cb,not_danceable,cla,female,not_aggressive,voice,154.446640015,C#,0.298123925924,happy
I Can't Help It (If I'm Still In Love With You),1969-01-11,Al Martino,100,97.0,97,3,6486ef1e-54e9-4eac-b263-8de6bd5deb33,not_danceable,rhy,male,not_aggressive,voice,95.6112289429,A#,0.805548071861,not_happy
I Heard It Through The Grapevine,1969-01-18,Marvin Gaye,1,1.0,1,9,6cc64992-93cc-434a-9862-f378eda1f5de,,,,,,,,,
I'm Gonna Make You Love Me,1969-01-18,Diana Ross And The Supremes & The Temptations,2,2.0,2,7,aa2b2c2d-60c4-4444-b880-0a21aced37df,,,,,,,,,
Soulful Strut,1969-01-18,Young-Holt Unlimited,3,4.0,3,8,8bd0e16b-aefd-4c7b-abd8-c98e1677b01c,,,,,,,,,
Crimson And Clover,1969-01-18,Tommy James And The Shondells,4,8.0,4,6,38812525-a9ab-4660-b6f5-7e34cd57af16,,,,,,,,,
Hooked On A Feeling,1969-01-18,B.J. Thomas,5,5.0,5,10,5513860b-56fc-44a9-8021-e21850101151,,,,,,,,,
Wichita Lineman,1969-01-18,Glen Campbell,6,3.0,3,12,44e5ab8d-d9c9-4ea1-b414-35daf627692b,,,,,,,,,
For Once In My Life,1969-01-18,Stevie Wonder,7,7.0,2,12,250e218e-4a6d-449c-89c8-5ba9bf0da6ad,danceable,jaz,female,aggressive,voice,109.589004517,A#,0.78351777792,happy
Touch Me,1969-01-18,The Doors,8,18.0,8,4,7d0b3e3e-c6b9-4175-9325-628b27763fbd,,,,,,,,,
Worst That Could Happen,1969-01-18,Brooklyn Bridge,9,23.0,9,5,ea4b14dd-f035-4a0a-9bc0-f31e3ec09400,,,,,,,,,
Son-Of-A Preacher Man,1969-01-18,Dusty Springfield,10,13.0,10,8,f5ac67b4-2e37-4718-b40e-c49fc6cdb2b5,not_danceable,pop,male,not_aggressive,voice,94.3085098267,A,0.865140318871,happy
Cinnamon,1969-01-18,Derek,11,11.0,11,13,8a219f88-6b7a-4cc8-8234-68b3874420b7,,,,,,,,,
Going Up The Country,1969-01-18,Canned Heat,12,12.0,12,7,47fc1445-1679-427f-a092-0ad000b48565,not_danceable,rhy,female,not_aggressive,voice,151.813476563,A#,0.920762360096,happy
Cloud Nine,1969-01-18,The Temptations,13,6.0,6,10,48459fc7-efcd-49ae-bcf9-2543eff3f4e7,danceable,pop,female,not_aggressive,voice,118.023101807,G,0.875655472279,not_happy
Lo Mucho Que Te Quiero (The More I Love You),1969-01-18,Rene & Rene,14,14.0,14,9,419f5748-4269-4e60-bd0e-ca736cdd2e52,,,,,,,,,
I Love How You Love Me,1969-01-18,Bobby Vinton,19,10.0,9,12,0d37948f-2c4b-490d-b65d-ce77f1585285,not_danceable,pop,male,not_aggressive,voice,152.832504272,A#,0.77354490757,happy
Who's Making Love,1969-01-18,Johnnie Taylor,21,20.0,5,13,1695849a-3daf-47c4-b3e0-d93917d1ee79,,,,,,,,,
"Abraham, Martin And John",1969-01-18,Dion,22,16.0,4,13,0d6cb0fb-46db-4ce0-9778-26af42071a40,not_danceable,rhy,male,not_aggressive,voice,147.162033081,E,0.639060556889,happy
Too Weak To Fight,1969-01-18,Clarence Carter,23,21.0,13,11,538ade79-8760-41f0-817b-d67301849a72,danceable,pop,male,not_aggressive,voice,102.607208252,C#,0.911254644394,happy
Stand By Your Man,1969-01-18,Tammy Wynette,24,33.0,24,11,c843899a-7996-4e9f-9df4-7c2ccf1a24e3,,,,,,,,,
Can I Change My Mind,1969-01-18,Tyrone Davis,25,28.0,25,5,91e8b6af-9059-4358-a606-ac25cf2722c3,not_danceable,rhy,male,not_aggressive,voice,101.584770203,E,0.798998653889,happy
