song,date,artist,this_week,last_week,peak_position,weeks_on_chart,mbid
You Should See Me In A Crown,2019-04-13,Billie Eilish,41,,41,2,b3fe4068-eb0e-4ece-98ed-12e7c772c0e1
Baby Shark,2019-04-13,Pinkfong,42,33,32,14,88383c15-26f1-464e-9d47-768dc62c4937
My Strange Addiction,2019-04-13,Billie Eilish,43,,43,1,eddc4da4-1809-451c-8e32-7a47b6989033
All The Good Girls Go To Hell,2019-04-13,Billie Eilish,46,,46,1,25c52213-2409-476c-b330-d585300526e9
Act Up,2019-04-13,City Girls,47,43,43,5,7d2ef547-9835-484f-9143-a9afbe54a5b9
Robbery,2019-04-13,Juice WRLD,48,37,27,7,f13e6235-1579-452c-ba1e-f4d365abc7f1
Put A Date On It,2019-04-13,Yo Gotti Featuring Lil Baby,57,46,46,10,87953dbb-e60e-4582-9f9c-93ba28ceff3d
God's Country,2019-04-13,Blake Shelton,59,,59,1,e0287d0e-9d09-4ced-9434-fb9c27d7d17d
Worth It,2019-04-13,YK Osiris,60,55,55,7,b286186b-0689-4236-a57b-3fbe7ef8d3bc
Eyes On You,2019-04-13,Chase Rice,61,54,54,7,050ca7bc-7cba-459a-bbd0-10bba97847f0
Ilomilo,2019-04-13,Billie Eilish,62,,62,1,95f4384e-170f-4ef4-9cb6-94e080d383f0
Listen Before I Go,2019-04-13,Billie Eilish,63,,63,1,373994c7-35e0-4b46-9c2e-82a90b95c0cb
Close Friends,2019-04-13,Lil Baby,64,57,28,23,5289ec9d-42ba-44ef-b5b6-40d2f0808efb
Bad Liar,2019-04-13,Imagine Dragons,66,56,56,6,835112a5-11e3-42ac-be9a-03ad53898f6c
Whiskey Glasses,2019-04-13,Morgan Wallen,67,66,66,5,fac61a09-4c85-4583-8786-ad7c41b00c48
Good As You,2019-04-13,Kane Brown,68,59,59,6,1b15090a-afd5-4bba-80ae-35b11d747007
One That Got Away,2019-04-13,Michael Ray,69,67,67,6,e49ad96d-6ed2-4952-b3ca-0f3a3a2879de
There Was This Girl,2019-04-13,Riley Green,75,71,71,6,fd1d671d-38c3-4a6c-8b34-1130d7d467d7
Girls Need Love,2019-04-13,Summer Walker X Drake,76,58,37,6,7af02def-5946-4ac9-9478-a3de97ee497e
Undrunk,2019-04-13,FLETCHER,77,61,61,4,19898d3c-6aaf-4080-916d-83cc19435ce2
8,2019-04-13,Billie Eilish,79,,79,1,23caec99-7f8d-4c26-90d7-04d3750c5970
Walk Me Home,2019-04-13,P!nk,80,63,54,5,0fce262b-e642-4444-b709-cde62dc680b3
Saturday Nights,2019-04-13,Khalid & Kane Brown,81,73,57,9,51f36195-a888-4487-9a8e-9a03b7042625
GIRL,2019-04-13,Maren Morris,84,77,61,5,1ca45337-fca7-4dde-9eb6-a91f1efd26f4
Lovely,2019-04-13,Billie Eilish & Khalid,85,96,64,22,1fc545d3-94b6-4a3d-bff3-bb8b861943d6
Suge,2019-04-13,DaBaby,87,,87,1,2e46313c-7d8d-4019-833c-cac666861eee
Night Shift,2019-04-13,Jon Pardi,88,81,81,7,9fb54cc1-10b2-46ac-8951-c43e46c3e122
This Is It,2019-04-13,Scotty McCreery,89,68,42,17,aec07661-9222-464f-9563-99611a159ae8
Ocean Eyes,2019-04-13,Billie Eilish,94,,94,7,15dafb91-e02e-4feb-b183-f5b547cff2f6
Millionaire,2019-04-13,Chris Stapleton,95,64,47,17,f61c9210-1cbb-4a7a-8e4a-f0531fa0f662
Talk You Out Of It,2019-04-13,Florida Georgia Line,96,88,80,7,0051dafd-d42c-4809-9769-e65470ab3690
Faucet Failure,2019-04-13,Ski Mask The Slump God,97,87,87,6,dcd8d071-ebe3-4f95-a900-f6f972c0b413
Girl Like You,2019-04-13,Jason Aldean,98,76,46,19,33d698bb-382f-48ef-8938-6e8f3af45fd8
Pure Cocaine,2019-04-13,Lil Baby,99,70,46,15,8cc74581-e677-4851-ad27-83d05515fd36
Pop Out,2019-04-13,Polo G Featuring Lil Tjay,100,95,95,2,a90d60b3-e647-4460-8258-e319f00c8e5d
Sunflower (Spider-Man: Into The Spider-Verse),2019-04-20,Post Malone & Swae Lee,2,2,1,25,74ce027a-e5a1-47f4-8997-68d89febca3f
Wow.,2019-04-20,Post Malone,3,4,2,16,112ff70c-7e9a-46df-9235-e82939575ad0
7 Rings,2019-04-20,Ariana Grande,4,3,1,12,7203c23a-5f31-4847-a50e-8a67bb26b43b
Without Me,2019-04-20,Halsey,5,5,1,27,91d1ebb0-aff0-4b6c-9c5a-ec1d87dc2fe4
Sucker,2019-04-20,Jonas Brothers,6,8,1,6,31148286-91df-454f-a309-8e16767fac61
Please Me,2019-04-20,Cardi B & Bruno Mars,7,6,3,8,71ca27bb-0354-48d6-a00b-0fa84c878bf6
Better,2019-04-20,Khalid,8,16,8,30,ba73118f-7c13-43f6-933c-9f048fe8c01f
Eastside,2019-04-20,"benny blanco, Halsey & Khalid",14,12,9,39,787087cb-cb94-442d-98dd-2eddc59f1f84
Sweet But Psycho,2019-04-20,Ava Max,16,19,16,17,c1a2d915-98ea-46cd-950d-adb99b408826
Thotiana,2019-04-20,Blueface,17,13,8,13,710f99d3-fa5d-4ab0-917d-374358e034c2
Talk,2019-04-20,Khalid,18,39,18,9,5f65f0f1-3c21-4cf6-830b-c3acb516aca5
"Break Up With Your Girlfriend, I'm Bored",2019-04-20,Ariana Grande,19,18,2,9,ce86b918-f9d0-4fc4-ad31-6baf055153ec
High Hopes,2019-04-20,Panic! At The Disco,20,17,4,36,f3e9f6f4-130c-420f-b90e-aa1bad4263b5
Beautiful Crazy,2019-04-20,Luke Combs,21,26,21,22,6d95ede5-1d26-43b4-b53a-56f2cbe0958b
A Lot,2019-04-20,21 Savage,22,22,12,16,4d4219b0-cd63-4d14-80df-cf0404fdb9a7
Sicko Mode,2019-04-20,Travis Scott,25,20,1,36,b7326a80-8332-4ee0-8238-d6737efba347
Cool,2019-04-20,Jonas Brothers,27,,27,1,28a308df-f8e9-4a26-bfd9-a55feebb7049
Murder On My Mind,2019-04-20,YNW Melly,28,21,14,12,fdb154f1-7019-476e-bfa9-b077e1cb1942
Envy Me,2019-04-20,Calboy,34,38,34,17,fe1d5d7a-0697-4a51-8f5e-1ea68b03dc4d
You Say,2019-04-20,Lauren Daigle,35,32,29,39,e8128e69-1c24-4e0f-8e31-6a4087299ba4
Look Back At It,2019-04-20,A Boogie Wit da Hoodie,36,37,32,18,c8374c1a-8c6f-4f45-9b4e-59187679b983
Better Now,2019-04-20,Post Malone,37,34,3,50,2b632288-0cca-4cc8-85cc-8272f862920e
Tequila,2019-04-20,Dan + Shay,38,50,21,49,9703cf42-53d5-42e1-8159-93ff890eec3e
When The Party's Over,2019-04-20,Billie Eilish,39,29,29,22,fe265667-ad88-4e84-baff-721a4aaa6f8f
Act Up,2019-04-20,City Girls,40,47,40,6,d6ebc3b9-7ad9-400f-8d46-ff7c1e76e2dd
Kill This Love,2019-04-20,BLACKPINK,41,,41,1,12482e22-2534-443b-8462-629a0476b622
Baby Shark,2019-04-20,Pinkfong,42,42,32,15,88383c15-26f1-464e-9d47-768dc62c4937
Youngblood,2019-04-20,5 Seconds Of Summer,43,40,7,45,8c699381-20d8-44da-916f-fdbc009fe6cd
Money,2019-04-20,Cardi B,44,36,13,25,765b0769-7801-486e-986c-0b0e2967efba
Here Tonight,2019-04-20,Brett Young,45,51,45,14,562c319d-570d-4c6f-bdd7-98b0bb993af1
Look What God Gave Her,2019-04-20,Thomas Rhett,48,74,48,6,b64ec516-e4ba-4a4f-9861-a6425ac20849
My Bad,2019-04-20,Khalid,55,,55,3,09659de5-f31c-4d81-bfab-19bc652947de
Saturday Nights,2019-04-20,Khalid & Kane Brown,57,81,57,10,51f36195-a888-4487-9a8e-9a03b7042625
Outta My Head,2019-04-20,Khalid With John Mayer,58,,58,1,18813c10-1671-41ca-9761-d89e52bf694a
Robbery,2019-04-20,Juice WRLD,59,48,27,8,f13e6235-1579-452c-ba1e-f4d365abc7f1
Make It Sweet,2019-04-20,Old Dominion,60,73,60,15,d7b4ebdb-7d8a-481a-99fd-36019d7c7ef1
Worth It,2019-04-20,YK Osiris,61,60,55,8,317ccbf3-e84b-40c0-a85d-1bc992dbc984
Whiskey Glasses,2019-04-20,Morgan Wallen,62,67,62,6,fac61a09-4c85-4583-8786-ad7c41b00c48
Suge,2019-04-20,DaBaby,63,87,63,2,fde4aee5-feb2-4222-aef3-962834d80929
Close Friends,2019-04-20,Lil Baby,65,64,28,24,1cbe2aa5-69b9-4ffa-b9ad-34c4637aa012
Miss Me More,2019-04-20,Kelsea Ballerini,66,71,60,10,e386e906-803b-4477-9e7c-d41a83e8c8c9
You Should See Me In A Crown,2019-04-20,Billie Eilish,68,41,41,3,b3fe4068-eb0e-4ece-98ed-12e7c772c0e1
Walk Me Home,2019-04-20,P!nk,73,80,54,6,0fce262b-e642-4444-b709-cde62dc680b3
Bad Liar,2019-04-20,Imagine Dragons,74,66,56,7,835112a5-11e3-42ac-be9a-03ad53898f6c
Undrunk,2019-04-20,FLETCHER,77,77,61,5,90c3cbfb-b840-4348-b92f-d1e56ff4cca3
Rumor,2019-04-20,Lee Brice,78,90,78,5,eaa23edc-6d1c-475d-bca8-4efc9c5a31bf
Night Shift,2019-04-20,Jon Pardi,79,88,79,8,9fb54cc1-10b2-46ac-8951-c43e46c3e122
Don't Call Me Up,2019-04-20,Mabel,80,92,80,3,ce021c34-6cb5-4919-8849-58dc75764812
Girls Need Love,2019-04-20,Summer Walker X Drake,81,76,37,7,63abc389-28b5-4734-8677-405768ae1064
GIRL,2019-04-20,Maren Morris,82,84,61,6,a5770204-8c22-4f88-a69f-759aba6c2720
Put A Date On It,2019-04-20,Yo Gotti Featuring Lil Baby,83,57,46,11,e5f7fed2-4c4e-432d-bb6b-d0d21d9e64cb
Xanny,2019-04-20,Billie Eilish,86,35,35,2,1131bb48-3527-416d-9183-ae91f72f379f
Bad Luck,2019-04-20,Khalid,87,,87,1,e3a4e9f5-8fe6-41ec-b3d6-da9f5ff1b458
Talk You Out Of It,2019-04-20,Florida Georgia Line,94,96,80,8,0051dafd-d42c-4809-9769-e65470ab3690
Inmortal,2019-04-20,Aventura,95,,95,1,266f485f-c33a-455f-b049-288f6426d13f
Ocean Eyes,2019-04-20,Billie Eilish,96,94,94,8,15dafb91-e02e-4feb-b183-f5b547cff2f6
Big Ole Freak,2019-04-20,Megan Thee Stallion,99,,99,1,8b67f6cc-d637-4ba5-9160-fcc0997981eb
Wow.,2019-04-27,Post Malone,2,3,2,17,598d2cde-c0f1-4d99-9089-b878eb833867
Sunflower (Spider-Man: Into The Spider-Verse),2019-04-27,Post Malone & Swae Lee,3,2,1,26,74ce027a-e5a1-47f4-8997-68d89febca3f
7 Rings,2019-04-27,Ariana Grande,4,4,1,13,3d87bbda-4f72-4a18-8906-545c2da6cc26
Without Me,2019-04-27,Halsey,5,5,1,28,888bb953-61ed-45e8-9c4f-33c3346dc16f
Sucker,2019-04-27,Jonas Brothers,6,6,1,7,abb7a870-6ffb-4d24-b103-bbe638fc6aeb
Dancing With A Stranger,2019-04-27,Sam Smith & Normani,7,12,7,14,aa243e48-c9f6-4753-8b42-b2342bb8988b
Happier,2019-04-27,Marshmello & Bastille,12,10,2,35,623b7611-08d9-4115-acd6-69f734dd3f24
Sweet But Psycho,2019-04-27,Ava Max,13,16,13,18,745cc4a1-b551-44d1-9d47-cc6ef7ad97b9
Thotiana,2019-04-27,Blueface,14,17,8,14,710f99d3-fa5d-4ab0-917d-374358e034c2
Shallow,2019-04-27,Lady Gaga & Bradley Cooper,16,13,1,29,e8191687-56bf-4e69-860f-a898735ec268
Better,2019-04-27,Khalid,17,8,8,31,ba73118f-7c13-43f6-933c-9f048fe8c01f
"Break Up With Your Girlfriend, I'm Bored",2019-04-27,Ariana Grande,18,19,2,10,58c94a5d-0156-40da-b11e-dbfdc8d50a85
Eastside,2019-04-27,"benny blanco, Halsey & Khalid",19,14,9,40,787087cb-cb94-442d-98dd-2eddc59f1f84
Talk,2019-04-27,Khalid,20,18,18,10,31dc0c27-2927-48a6-b622-823c15f824b4
High Hopes,2019-04-27,Panic! At The Disco,21,20,4,37,f3e9f6f4-130c-420f-b90e-aa1bad4263b5
A Lot,2019-04-27,21 Savage,22,22,12,17,4d4219b0-cd63-4d14-80df-cf0404fdb9a7
Beautiful Crazy,2019-04-27,Luke Combs,24,21,21,23,3b1894a2-7988-48fa-91d4-ae036272ef38
Sicko Mode,2019-04-27,Travis Scott,26,25,1,37,b7326a80-8332-4ee0-8238-d6737efba347
Drip Too Hard,2019-04-27,Lil Baby & Gunna,32,32,4,31,f65108f7-c7ea-4c86-be42-fff229d8cbfb
Pure Water,2019-04-27,Mustard & Migos,33,33,31,12,775b2382-638a-4bf8-bc72-1e838cd16fd5
"Thank U, Next",2019-04-27,Ariana Grande,34,31,1,24,274b3a7b-64bd-4af3-9af9-dd41277ddc17
Envy Me,2019-04-27,Calboy,35,34,34,18,4c13c951-2c72-4f02-a0d2-33768e997281
Act Up,2019-04-27,City Girls,36,40,36,7,d6ebc3b9-7ad9-400f-8d46-ff7c1e76e2dd
Look Back At It,2019-04-27,A Boogie Wit da Hoodie,37,36,32,19,c8374c1a-8c6f-4f45-9b4e-59187679b983
When The Party's Over,2019-04-27,Billie Eilish,38,39,29,23,ff1654d5-1862-4149-96ec-cd0d0539173a
Better Now,2019-04-27,Post Malone,39,37,3,51,f43c350b-0212-45fd-9d88-6590825a2c3b
You Say,2019-04-27,Lauren Daigle,40,35,29,40,e8128e69-1c24-4e0f-8e31-6a4087299ba4
Here Tonight,2019-04-27,Brett Young,42,45,42,15,562c319d-570d-4c6f-bdd7-98b0bb993af1
Baby Shark,2019-04-27,Pinkfong,43,42,32,16,88383c15-26f1-464e-9d47-768dc62c4937
Eyes On You,2019-04-27,Chase Rice,44,52,44,9,e004cd0e-0e98-40e5-89ca-81cb185a64d5
God's Country,2019-04-27,Blake Shelton,46,49,46,3,e0287d0e-9d09-4ced-9434-fb9c27d7d17d
Look What God Gave Her,2019-04-27,Thomas Rhett,53,48,48,7,b64ec516-e4ba-4a4f-9861-a6425ac20849
Good As You,2019-04-27,Kane Brown,54,53,53,8,1b15090a-afd5-4bba-80ae-35b11d747007
Whiskey Glasses,2019-04-27,Morgan Wallen,55,62,55,7,fac61a09-4c85-4583-8786-ad7c41b00c48
Make It Sweet,2019-04-27,Old Dominion,57,60,57,16,d7b4ebdb-7d8a-481a-99fd-36019d7c7ef1
Close Friends,2019-04-27,Lil Baby,58,65,28,25,d3290ee1-9e64-4f0d-a9f7-97ef42b9708a
Worth It,2019-04-27,YK Osiris,60,61,55,9,317ccbf3-e84b-40c0-a85d-1bc992dbc984
Robbery,2019-04-27,Juice WRLD,61,59,27,9,f13e6235-1579-452c-ba1e-f4d365abc7f1
Miss Me More,2019-04-27,Kelsea Ballerini,63,66,60,11,9fadef88-9f19-4b9b-a67f-f369eb78dd2c
Wish You Were Gay,2019-04-27,Billie Eilish,64,51,31,7,68aaf9b2-faaa-4593-9442-ffffc88ac820
You Should See Me In A Crown,2019-04-27,Billie Eilish,65,68,41,4,b3fe4068-eb0e-4ece-98ed-12e7c772c0e1
Kill This Love,2019-04-27,BLACKPINK,73,41,41,2,12482e22-2534-443b-8462-629a0476b622
Pop Out,2019-04-27,Polo G Featuring Lil Tjay,74,89,74,4,a90d60b3-e647-4460-8258-e319f00c8e5d
Cool,2019-04-27,Jonas Brothers,75,27,27,2,28a308df-f8e9-4a26-bfd9-a55feebb7049
That's A Rack,2019-04-27,Lil Uzi Vert,76,,76,1,01139642-4126-44dd-b99c-e067ccc6e4a0
Girls Need Love,2019-04-27,Summer Walker X Drake,77,81,37,8,63abc389-28b5-4734-8677-405768ae1064
Shot Clock,2019-04-27,Ella Mai,78,72,62,12,210589a9-8323-4ee7-836a-1c07b53080ae
GIRL,2019-04-27,Maren Morris,79,82,61,7,21b84faf-c629-4cf7-a535-bfc7a7ef1f00
Bad Liar,2019-04-27,Imagine Dragons,80,74,56,8,835112a5-11e3-42ac-be9a-03ad53898f6c
Love Ain't,2019-04-27,Eli Young Band,81,,81,1,00b87afb-f39f-430a-b22e-85a261468e21
Undrunk,2019-04-27,FLETCHER,83,77,61,6,90c3cbfb-b840-4348-b92f-d1e56ff4cca3
Big Ole Freak,2019-04-27,Megan Thee Stallion,84,99,84,2,8b67f6cc-d637-4ba5-9160-fcc0997981eb
Put A Date On It,2019-04-27,Yo Gotti Featuring Lil Baby,85,83,46,12,e5f7fed2-4c4e-432d-bb6b-d0d21d9e64cb
Saturday Nights,2019-04-27,Khalid & Kane Brown,86,57,57,11,51f36195-a888-4487-9a8e-9a03b7042625
Talk You Out Of It,2019-04-27,Florida Georgia Line,93,94,80,9,0051dafd-d42c-4809-9769-e65470ab3690
I'm So Tired...,2019-04-27,Lauv & Troye Sivan,94,,86,2,68ebb59e-3b88-4883-97d2-1d963203bbba
"Hey Look Ma, I Made It",2019-04-27,Panic! At The Disco,96,,96,1,057c8042-8030-4070-b01b-b11b00817a0d
This Is It,2019-04-27,Scotty McCreery,97,90,42,19,aec07661-9222-464f-9563-99611a159ae8
There Was This Girl,2019-04-27,Riley Green,98,70,70,8,fd1d671d-38c3-4a6c-8b34-1130d7d467d7
On My Way To You,2019-04-27,Cody Johnson,100,,91,8,c9420dc8-1d90-444a-9caf-9e07863fdf62
Wow.,2019-05-04,Post Malone,2,2,2,18,a6d85260-c6fa-4099-9884-92a4f86f636c
Sunflower (Spider-Man: Into The Spider-Verse),2019-05-04,Post Malone & Swae Lee,3,3,1,27,b6df9d04-2303-4ec7-a416-367b06a026cb
7 Rings,2019-05-04,Ariana Grande,4,4,1,14,7203c23a-5f31-4847-a50e-8a67bb26b43b
Sucker,2019-05-04,Jonas Brothers,5,6,1,8,a9b16d1e-3e23-452c-b7f3-e879cf6cbdd3
Without Me,2019-05-04,Halsey,6,5,1,29,6333397f-2ecb-43d0-927c-adbc36c1bede
Sweet But Psycho,2019-05-04,Ava Max,11,13,11,19,c1a2d915-98ea-46cd-950d-adb99b408826
Happier,2019-05-04,Marshmello & Bastille,12,12,2,36,56fd881e-ee97-4b56-a3d9-bf4b177fd619
Please Me,2019-05-04,Cardi B & Bruno Mars,13,10,3,10,55f79efc-74a6-45db-ae73-6cc65f2d429e
"Break Up With Your Girlfriend, I'm Bored",2019-05-04,Ariana Grande,14,18,2,11,c34e6463-b344-4c74-a090-ebe1de89398b
Shallow,2019-05-04,Lady Gaga & Bradley Cooper,15,16,1,30,31efbe4d-0e4c-47a4-9a77-a7e5ad0588f4
Earth,2019-05-04,Lil Dicky,17,,17,1,cfee49eb-e251-47a4-ad80-14221fb84b1d
Eastside,2019-05-04,"benny blanco, Halsey & Khalid",18,19,9,41,787087cb-cb94-442d-98dd-2eddc59f1f84
Better,2019-05-04,Khalid,19,17,8,32,5ef726de-68d8-4f74-806c-50d75d105bdb
High Hopes,2019-05-04,Panic! At The Disco,20,21,4,38,f3e9f6f4-130c-420f-b90e-aa1bad4263b5
Thotiana,2019-05-04,Blueface,21,14,8,15,710f99d3-fa5d-4ab0-917d-374358e034c2
Pure Water,2019-05-04,Mustard & Migos,23,33,23,13,775b2382-638a-4bf8-bc72-1e838cd16fd5
A Lot,2019-05-04,21 Savage,24,22,12,18,39fb60ce-0c92-4e72-930b-cc6c2d4efcee
Sicko Mode,2019-05-04,Travis Scott,25,26,1,38,b7326a80-8332-4ee0-8238-d6737efba347
Envy Me,2019-05-04,Calboy,31,35,31,19,fe1d5d7a-0697-4a51-8f5e-1ea68b03dc4d
Sanguine Paradise,2019-05-04,Lil Uzi Vert,32,28,28,2,5d02cafc-0913-4853-a056-60ac0b0704d9
Drip Too Hard,2019-05-04,Lil Baby & Gunna,33,32,4,32,14983d93-0458-4064-a0ff-3248d57e6908
Murder On My Mind,2019-05-04,YNW Melly,35,29,14,14,fdb154f1-7019-476e-bfa9-b077e1cb1942
Bury A Friend,2019-05-04,Billie Eilish,36,31,14,13,4d82c5eb-9cfe-4dd6-b147-b57cc17a809d
When The Party's Over,2019-05-04,Billie Eilish,38,38,29,24,ff1654d5-1862-4149-96ec-cd0d0539173a
"Thank U, Next",2019-05-04,Ariana Grande,41,34,1,25,274b3a7b-64bd-4af3-9af9-dd41277ddc17
Better Now,2019-05-04,Post Malone,42,39,3,52,2b632288-0cca-4cc8-85cc-8272f862920e
God's Country,2019-05-04,Blake Shelton,43,46,43,4,e0287d0e-9d09-4ced-9434-fb9c27d7d17d
Eyes On You,2019-05-04,Chase Rice,44,44,44,10,e004cd0e-0e98-40e5-89ca-81cb185a64d5
You Say,2019-05-04,Lauren Daigle,45,40,29,41,e8128e69-1c24-4e0f-8e31-6a4087299ba4
Good As You,2019-05-04,Kane Brown,52,54,52,9,3854c9b2-8d8d-4700-8cd5-87f0cd996359
Look What God Gave Her,2019-05-04,Thomas Rhett,53,53,48,8,b64ec516-e4ba-4a4f-9861-a6425ac20849
Make It Sweet,2019-05-04,Old Dominion,56,57,56,17,d7b4ebdb-7d8a-481a-99fd-36019d7c7ef1
Close Friends,2019-05-04,Lil Baby,57,58,28,26,d3290ee1-9e64-4f0d-a9f7-97ef42b9708a
Worth It,2019-05-04,YK Osiris,58,60,55,10,317ccbf3-e84b-40c0-a85d-1bc992dbc984
Miss Me More,2019-05-04,Kelsea Ballerini,59,63,59,12,e386e906-803b-4477-9e7c-d41a83e8c8c9
Pop Out,2019-05-04,Polo G Featuring Lil Tjay,60,74,60,5,a37c9b63-906b-447d-bb66-c42ac45e1489
Night Shift,2019-05-04,Jon Pardi,61,70,61,10,9fb54cc1-10b2-46ac-8951-c43e46c3e122
Walk Me Home,2019-05-04,P!nk,62,71,54,8,0fce262b-e642-4444-b709-cde62dc680b3
You Should See Me In A Crown,2019-05-04,Billie Eilish,65,65,41,5,b3fe4068-eb0e-4ece-98ed-12e7c772c0e1
Don't Call Me Up,2019-05-04,Mabel,70,67,67,5,ae5b0fa3-221c-420d-bf18-3af418bd9051
Girls Need Love,2019-05-04,Summer Walker X Drake,72,77,37,9,63abc389-28b5-4734-8677-405768ae1064
Wish You Were Gay,2019-05-04,Billie Eilish,73,64,31,8,68aaf9b2-faaa-4593-9442-ffffc88ac820
GIRL,2019-05-04,Maren Morris,74,79,61,8,1ca45337-fca7-4dde-9eb6-a91f1efd26f4
Before I Let Go,2019-05-04,Beyonce,75,,75,1,cb6e819a-ce5c-4f70-b32b-f60ed4401604
Big Ole Freak,2019-05-04,Megan Thee Stallion,76,84,76,3,79dc9803-30cc-4aa8-b424-ee9d7ea43eac
Put A Date On It,2019-05-04,Yo Gotti Featuring Lil Baby,77,85,46,13,e5f7fed2-4c4e-432d-bb6b-d0d21d9e64cb
Talk You Out Of It,2019-05-04,Florida Georgia Line,78,93,78,10,0051dafd-d42c-4809-9769-e65470ab3690
Shot Clock,2019-05-04,Ella Mai,79,78,62,13,210589a9-8323-4ee7-836a-1c07b53080ae
"Hey Look Ma, I Made It",2019-05-04,Panic! At The Disco,80,96,80,2,057c8042-8030-4070-b01b-b11b00817a0d
I'm So Tired...,2019-05-04,Lauv & Troye Sivan,81,94,81,3,68ebb59e-3b88-4883-97d2-1d963203bbba
That's A Rack,2019-05-04,Lil Uzi Vert,82,76,76,2,01139642-4126-44dd-b99c-e067ccc6e4a0
Secreto,2019-05-04,Anuel AA & Karol G,83,,68,9,78556904-b366-459c-9499-76aa2236ea73
Ocean Eyes,2019-05-04,Billie Eilish,84,91,84,10,7cf13f91-9f0a-44c3-a910-19ab28edaa69
Saturday Nights,2019-05-04,Khalid & Kane Brown,91,86,57,12,51f36195-a888-4487-9a8e-9a03b7042625
Pure Cocaine,2019-05-04,Lil Baby,92,,46,16,8cc74581-e677-4851-ad27-83d05515fd36
Love Someone,2019-05-04,Brett Eldredge,93,,93,1,da04764a-c8f5-4115-ba30-b9dfb19a1d02
This Is It,2019-05-04,Scotty McCreery,94,97,42,20,aec07661-9222-464f-9563-99611a159ae8
My Strange Addiction,2019-05-04,Billie Eilish,95,88,43,4,eddc4da4-1809-451c-8e32-7a47b6989033
Shotta Flow,2019-05-04,NLE Choppa,96,,96,1,286c68bb-66a8-4b8b-b850-1a3c72762af7
Xanny,2019-05-04,Billie Eilish,98,90,35,4,1131bb48-3527-416d-9183-ae91f72f379f
One That Got Away,2019-05-04,Michael Ray,99,87,67,9,e49ad96d-6ed2-4952-b3ca-0f3a3a2879de
ME!,2019-05-04,Taylor Swift Featuring Brendon Urie,100,,100,1,26359b00-81fa-4f04-bcb5-d1f3955e72e7
ME!,2019-05-11,Taylor Swift Featuring Brendon Urie,2,100,2,2,26359b00-81fa-4f04-bcb5-d1f3955e72e7
Wow.,2019-05-11,Post Malone,3,2,2,19,598d2cde-c0f1-4d99-9089-b878eb833867
Sucker,2019-05-11,Jonas Brothers,4,5,1,9,a9b16d1e-3e23-452c-b7f3-e879cf6cbdd3
Talk,2019-05-11,Khalid,10,8,8,12,31dc0c27-2927-48a6-b622-823c15f824b4
Sweet But Psycho,2019-05-11,Ava Max,11,11,11,20,c1a2d915-98ea-46cd-950d-adb99b408826
Middle Child,2019-05-11,J. Cole,12,10,4,15,3f48a631-dea1-480d-9433-f3b97e63246a
"Break Up With Your Girlfriend, I'm Bored",2019-05-11,Ariana Grande,13,14,2,12,58c94a5d-0156-40da-b11e-dbfdc8d50a85
Happier,2019-05-11,Marshmello & Bastille,14,12,2,37,56fd881e-ee97-4b56-a3d9-bf4b177fd619
Shallow,2019-05-11,Lady Gaga & Bradley Cooper,15,15,1,31,e8191687-56bf-4e69-860f-a898735ec268
Eastside,2019-05-11,"benny blanco, Halsey & Khalid",17,18,9,42,787087cb-cb94-442d-98dd-2eddc59f1f84
High Hopes,2019-05-11,Panic! At The Disco,18,20,4,39,f3e9f6f4-130c-420f-b90e-aa1bad4263b5
Please Me,2019-05-11,Cardi B & Bruno Mars,19,13,3,11,71ca27bb-0354-48d6-a00b-0fa84c878bf6
Better,2019-05-11,Khalid,20,19,8,33,5ef726de-68d8-4f74-806c-50d75d105bdb
A Lot,2019-05-11,21 Savage,22,24,12,19,39fb60ce-0c92-4e72-930b-cc6c2d4efcee
Pure Water,2019-05-11,Mustard & Migos,23,23,23,14,bc7f1e75-755d-465b-a6d0-b7403361a77b
Sicko Mode,2019-05-11,Travis Scott,24,25,1,39,69913c93-47b1-4196-acc9-f492f6db35f5
Act Up,2019-05-11,City Girls,30,30,30,9,7d2ef547-9835-484f-9143-a9afbe54a5b9
Envy Me,2019-05-11,Calboy,32,31,31,20,fe1d5d7a-0697-4a51-8f5e-1ea68b03dc4d
Whiskey Glasses,2019-05-11,Morgan Wallen,33,48,33,9,fac61a09-4c85-4583-8786-ad7c41b00c48
God's Country,2019-05-11,Blake Shelton,34,43,34,5,e0287d0e-9d09-4ced-9434-fb9c27d7d17d
Drip Too Hard,2019-05-11,Lil Baby & Gunna,37,33,4,33,14983d93-0458-4064-a0ff-3248d57e6908
Eyes On You,2019-05-11,Chase Rice,38,44,38,11,e004cd0e-0e98-40e5-89ca-81cb185a64d5
When The Party's Over,2019-05-11,Billie Eilish,39,38,29,25,fe265667-ad88-4e84-baff-721a4aaa6f8f
Earth,2019-05-11,Lil Dicky,41,17,17,2,cfee49eb-e251-47a4-ad80-14221fb84b1d
Sanguine Paradise,2019-05-11,Lil Uzi Vert,42,32,28,3,5d02cafc-0913-4853-a056-60ac0b0704d9
You Say,2019-05-11,Lauren Daigle,43,45,29,42,e8128e69-1c24-4e0f-8e31-6a4087299ba4
Murder On My Mind,2019-05-11,YNW Melly,44,35,14,15,fdb154f1-7019-476e-bfa9-b077e1cb1942
Youngblood,2019-05-11,5 Seconds Of Summer,50,50,7,48,8c699381-20d8-44da-916f-fdbc009fe6cd
