song,date,artist,this_week,last_week,peak_position,weeks_on_chart,mbid
Lay Lady Lay,1969-07-12,Bob Dylan,94,,94,1,bdd23fd5-98b9-453b-9748-80a2f4c6e50b
Everything I Do Gonh Be Funky (From Now On),1969-07-12,Lee Dorsey,95,96,95,3,4ae9aec9-bfb4-4304-b9be-887c54b697ef
Birds Of A Feather,1969-07-12,Joe South,96,,96,1,12f5f71e-56af-44ae-90e1-172e95e16cc3
In The Time Of Our Lives,1969-07-12,Iron Butterfly,97,,97,1,864cd14d-e31e-4e75-8cc5-0866225a1553
Pass The Apple Eve,1969-07-12,B.J. Thomas,98,,98,1,504934b3-44a5-4cce-9955-3d578dca0a4d
My Little Chickadee,1969-07-12,The Foundations,99,100,99,2,d694c1d5-a49d-4554-a4f9-87888f0b98f4
Abergavenny,1969-07-12,Shannon,100,,100,1,2dbb2503-b211-45e7-8678-d0cb8851c18a
In The Year 2525,1969-07-19,Zager & Evans,1,1,1,5,e001c68c-5209-4d97-9c01-b805604c5b7c
Spinning Wheel,1969-07-19,"Blood, Sweat & Tears",2,2,2,8,1728512a-337f-4ffa-8dbf-bb0f9dfb59cd
Good Morning Starshine,1969-07-19,Oliver,3,3,3,9,7f385453-13b5-4db1-bce0-d9b59afbeefa
Crystal Blue Persuasion,1969-07-19,Tommy James And The Shondells,4,6,4,7,a53316b4-4f9c-4e30-9bbb-3d2431a607bd
What Does It Take (To Win Your Love),1969-07-19,Jr. Walker & The All Stars,5,10,5,10,f818eb85-1fa2-431d-82a8-96426eb04123
One,1969-07-19,Three Dog Night,6,5,5,12,526ae17f-eb37-47cc-99a7-b1642bec2ae3
Color Him Father,1969-07-19,The Winstons,7,9,7,9,ea7f0f7b-07ca-477a-acf0-56e1074d2883
The Ballad Of John And Yoko,1969-07-19,The Beatles,8,8,8,6,e9e05d00-3b26-48ce-ab9e-93d8c2f3d8c1
"Baby, I Love You",1969-07-19,Andy Kim,14,17,14,9,6d9dbd3c-cc49-4a80-80c1-fc301b4929e7
Too Busy Thinking About My Baby,1969-07-19,Marvin Gaye,15,13,4,13,c7bee473-c7cd-4835-bb4a-dbc3fe254171
Get Back,1969-07-19,The Beatles With Billy Preston,16,12,1,11,beaf49d4-c864-4141-9ce0-162e16778d87
In The Ghetto,1969-07-19,Elvis Presley,17,16,3,12,2a252590-77d0-4e1a-b20e-a74f7e421127
Black Pearl,1969-07-19,"Sonny Charles And The Checkmates, Ltd.",18,18,13,11,1e8cdb96-2355-430c-88a8-75d4d1aa07ca
"Ruby, Don't Take Your Love To Town",1969-07-19,Kenny Rogers & The First Edition,19,26,19,7,652298ae-b384-4b96-ba85-43c541c1c334
I Can Sing A Rainbow/Love Is Blue,1969-07-19,The Dells,22,24,22,9,e7fbae9a-e0d8-4c5a-ae65-112153b5668c
I Turned You On,1969-07-19,The Isley Brothers,23,23,23,8,f7b4f4c5-0e70-4222-a9dc-662d7decc16f
Sweet Caroline (Good Times Never Seemed So Good),1969-07-19,Neil Diamond,24,30,24,4,3d34cf25-8ba6-4821-a968-b8041048a081
Moody Woman,1969-07-19,Jerry Butler,25,25,25,8,796dab5f-51f9-46b2-8d68-7be7124de76b
My Pledge Of Love,1969-07-19,The Joe Jeffrey Group,26,29,26,7,a1e07099-fa4f-4a62-bc95-109e49018d0c
Israelites,1969-07-19,Desmond Dekker And The Aces,28,19,9,10,49226756-e2cc-4475-a93a-74caa22af263
The Days Of Sand And Shovels,1969-07-19,Bobby Vinton,34,34,34,6,0023cafa-834d-422d-8ef3-bf0fef0fa12e
"Abraham, Martin And John",1969-07-19,Moms Mabley,35,42,35,4,780ad73a-f86e-4268-8680-d95b6bfdffaa
We Got More Soul,1969-07-19,Dyke And The Blazers,36,36,35,10,c266bfff-79fa-4029-9310-605ec1fa864d
Doggone Right,1969-07-19,Smokey Robinson & The Miracles,37,41,37,5,4f73c54c-0ca5-4769-85dc-53dba7dd37de
With Pen In Hand,1969-07-19,Vikki Carr,38,35,35,12,36fe76b7-0973-4bab-bb45-a58a07a3d8b0
So I Can Love You,1969-07-19,The Emotions,39,44,39,9,bff5d1cb-9345-4eca-af02-de6a936d42e7
Mrs. Robinson,1969-07-19,Booker T. & The MG's,40,37,37,7,087c88e4-6512-43b1-badb-9d88d6ea428d
Along Came Jones,1969-07-19,Ray Stevens,41,54,41,4,12d3e4b5-7b7e-4375-89b9-67c4180815af
Polk Salad Annie,1969-07-19,Tony Joe White,43,57,43,3,a37843a7-ceab-4971-8814-98c2deebc610
Memphis Underground,1969-07-19,Herbie Mann,44,45,44,9,0bb1f5a1-19f3-4d1e-b269-e0d85e13ba28
But It's Alright,1969-07-19,J.J. Jackson,45,46,22,22,48a6e2dc-df58-4c20-b4d8-01e6407aeb28
I'd Rather Be An Old Man's Sweetheart (Than A Young Man's Fool),1969-07-19,Candi Staton,46,49,46,5,9013a829-c3cf-4d7b-b62d-9e19350e13d1
Reconsider Me,1969-07-19,Johnny Adams,47,56,47,4,dba60eed-9800-4799-8759-5bb693f88c79
Put A Little Love In Your Heart,1969-07-19,Jackie DeShannon,48,55,48,4,40f85ae0-2d71-4279-8a11-4030c49ce3a7
Clean Up Your Own Back Yard,1969-07-19,Elvis Presley,54,65,54,3,1dcf36eb-132d-43bd-b7b8-95aa1361a12a
The Girl I'll Never Know (Angels Never Fly This Low),1969-07-19,Frankie Valli,55,52,52,6,d49400bc-c535-4237-bd61-f8964df15975
Muddy River,1969-07-19,Johnny Rivers,56,60,56,4,75a14558-e668-4632-9cab-488fe252072b
Moments To Remember,1969-07-19,The Vogues,57,47,47,5,fb1216ea-0679-4e99-a130-e077b9cff6fe
Tell All The People,1969-07-19,The Doors,58,62,58,6,83767941-fe6e-4945-9426-32ec89242054
Girl You're Too Young,1969-07-19,Archie Bell & The Drells,59,68,59,5,68950746-6d15-4b3a-939b-ea6e4728f987
"Don't Wake Me Up In The Morning, Michael",1969-07-19,Peppermint Rainbow,60,61,60,6,aa7ff93f-3276-423e-93c0-bde41e0cf0ed
Why I Sing The Blues,1969-07-19,B.B. King,61,66,61,10,165f3511-85a5-4b82-8011-3852e8a29027
Laughing,1969-07-19,The Guess Who,62,83,62,2,90a53155-b8da-4546-9be7-1df9e248d874
Listen To The Band,1969-07-19,The Monkees,63,64,63,7,ef8f942a-f7b9-4955-9e7d-bb89c55a4803
Get Together,1969-07-19,The Youngbloods,64,74,62,12,bc6db568-79d6-460d-ba4d-78a8946e60d6
The Feeling Is Right,1969-07-19,Clarence Carter,65,71,65,5,e42842b4-7f76-47e0-9b9b-14a355789297
(Sittin' On) The Dock Of The Bay,1969-07-19,Sergio Mendes & Brasil '66,66,69,66,4,b4736f21-ce9c-4df1-8753-7ee670054568
Hurt So Bad,1969-07-19,The Lettermen,67,73,67,8,957ba0d6-7f9a-41e7-a471-1f941b406ee0
Break Away,1969-07-19,The Beach Boys,68,79,68,3,b7a05e6f-5f07-4d6c-8bbb-03f3ce6e2194
Soul Deep,1969-07-19,The Box Tops,74,90,74,3,ac328aaa-ba36-4b10-a7c2-8a48ff709ca4
Did You See Her Eyes,1969-07-19,The Illusion,76,78,76,3,ec6d04d1-bd94-4b18-9d7f-b31c5f8cd2c1
Willie & Laura Mae Jones,1969-07-19,Dusty Springfield,78,88,78,2,1fb146fd-a848-4773-9d72-603fa7fbc39e
Honky Tonk Women,1969-07-19,The Rolling Stones,79,,79,1,0af76497-fb09-4eb4-9092-f6939e55c0c0
Forever,1969-07-19,Mercy,80,80,80,4,6cd9bf66-b33e-4508-ae9c-e6358fcf06d2
I'm Still A Struggling Man,1969-07-19,Edwin Starr,81,82,80,4,121e028c-e411-4fcd-83dd-5b8af0f32792
Stay And Love Me All Summer,1969-07-19,Brian Hyland,82,87,82,2,a4a4aba8-180c-4194-906e-2ebf1d99a722
Nothing Can Take The Place Of You,1969-07-19,Brook Benton,84,89,84,3,04cf4a26-3f15-48d0-b2cc-cfe48d598a71
Don't Tell Your Mama (Where You've Been),1969-07-19,Eddie Floyd,85,86,85,4,6887b004-47a6-4dae-b869-e0a936527f64
Marrakesh Express,1969-07-19,"Crosby, Stills & Nash",86,,86,1,3ee06f09-8d0b-4f75-8236-80a2338a27ac
Your Good Thing (Is About To End),1969-07-19,Lou Rawls,87,,87,1,c6176cab-f02a-4744-96d1-708b58c8250c
The Nitty Gritty,1969-07-19,Gladys Knight And The Pips,88,,88,1,f2499187-279a-419b-ae4d-dcda0f889b0d
Lay Lady Lay,1969-07-19,Bob Dylan,93,94,93,2,bdd23fd5-98b9-453b-9748-80a2f4c6e50b
Till You Get Enough,1969-07-19,The Watts 103rd Street Rhythm Band,94,,94,1,62faa42b-9a15-4edb-8b27-1ff739276d94
That's The Way,1969-07-19,Joe Tex,95,,95,1,317d5a2f-618d-4147-b70a-dffe67eaf2c7
In The Time Of Our Lives,1969-07-19,Iron Butterfly,96,97,96,2,864cd14d-e31e-4e75-8cc5-0866225a1553
Pass The Apple Eve,1969-07-19,B.J. Thomas,98,98,98,2,ba7f9ae3-ade8-43fd-a606-d7d03c6c42ab
Jack And Jill,1969-07-19,Tommy Roe,99,,99,1,cc7b8051-adce-4097-904a-cc305a8ac637
Birthday,1969-07-19,Underground Sunshine,100,,100,1,06ff413b-461a-4ac0-ba5f-2e2862a0e797
In The Year 2525,1969-07-26,Zager & Evans,1,1,1,6,fd7bc4fd-db57-4dde-a52c-fe2417d5caa7
Crystal Blue Persuasion,1969-07-26,Tommy James And The Shondells,2,4,2,8,a53316b4-4f9c-4e30-9bbb-3d2431a607bd
Spinning Wheel,1969-07-26,"Blood, Sweat & Tears",3,2,2,9,1728512a-337f-4ffa-8dbf-bb0f9dfb59cd
My Cherie Amour,1969-07-26,Stevie Wonder,4,9,4,9,2c643ed6-c4f9-4047-a15a-98522d73be26
What Does It Take (To Win Your Love),1969-07-26,Jr. Walker & The All Stars,5,5,5,11,f7706be8-9a26-44fd-bef4-6301f406082c
Good Morning Starshine,1969-07-26,Oliver,6,3,3,10,2c9b309d-407d-4661-8aca-96401210695f
One,1969-07-26,Three Dog Night,7,6,5,13,3d26fbf5-fc55-4ba0-9bd4-eaf49de1197d
Sweet Caroline (Good Times Never Seemed So Good),1969-07-26,Neil Diamond,13,24,13,5,9f8eeb0b-235c-4f69-b22c-fcc0eca9f816
My Pledge Of Love,1969-07-26,The Joe Jeffrey Group,14,26,14,8,fa18484e-11b8-4e45-abeb-445158597dcd
"Ruby, Don't Take Your Love To Town",1969-07-26,Kenny Rogers & The First Edition,15,19,15,8,652298ae-b384-4b96-ba85-43c541c1c334
Bad Moon Rising,1969-07-26,Creedence Clearwater Revival,16,11,2,13,5b02c719-9f68-4ad4-a375-365721495f15
Too Busy Thinking About My Baby,1969-07-26,Marvin Gaye,17,15,4,14,5cca8764-d98b-4658-b7d0-e64a168fc929
Black Pearl,1969-07-26,"Sonny Charles And The Checkmates, Ltd.",18,18,13,12,82967ea5-7efa-4552-a04d-4e048f51c99e
Love Me Tonight,1969-07-26,Tom Jones,20,13,13,10,019135ad-7443-4740-bbb2-a64832c1771a
"Yesterday, When I Was Young",1969-07-26,Roy Clark,21,31,21,7,fc2c1b28-32de-437a-a247-86d7887e1160
Polk Salad Annie,1969-07-26,Tony Joe White,22,43,22,4,be9d1004-3aff-4c75-b5bd-99f3e233d9e4
Moody Woman,1969-07-26,Jerry Butler,24,25,24,9,c9482beb-c9d4-4e2d-a741-4826eab47172
In The Ghetto,1969-07-26,Elvis Presley,26,17,3,13,6f10041a-a099-411a-a1fd-1b7f99d37e4d
Get Back,1969-07-26,The Beatles With Billy Preston,27,16,1,12,53affeb0-ef0a-4f2f-9210-7a3998cb0f1d
"Abraham, Martin And John",1969-07-26,Smokey Robinson & The Miracles,33,33,33,4,31c47c14-c000-4fbc-86d6-158930df18bc
Put A Little Love In Your Heart,1969-07-26,Jackie DeShannon,34,48,34,5,4e3b0de2-2c1e-4968-8fde-fe6b9032fef0
"Abraham, Martin And John",1969-07-26,Moms Mabley,35,35,35,5,03ccaedc-3276-4ec2-bd22-3c11a5dfd2ab
I Can Sing A Rainbow/Love Is Blue,1969-07-26,The Dells,36,22,22,10,e7fbae9a-e0d8-4c5a-ae65-112153b5668c
The Popcorn,1969-07-26,James Brown,37,30,30,9,f0603ccf-f176-45a2-bb9d-51419b81c34e
Reconsider Me,1969-07-26,Johnny Adams,38,47,38,5,9b56a826-dee8-40c2-a7c8-d3b14df51560
Along Came Jones,1969-07-26,Ray Stevens,39,41,39,5,8c558913-ad4f-4c1b-b474-5c348e984fb1
With Pen In Hand,1969-07-26,Vikki Carr,41,38,35,13,ec896bb2-af6d-4cc2-92bb-13d220141e8f
A Boy Named Sue,1969-07-26,Johnny Cash,42,,42,1,3ac0d8b4-0ffc-4330-af1a-d54d5cf779e2
I'd Wait A Million Years,1969-07-26,The Grass Roots,43,49,43,4,336cf8a3-18b1-4906-8c9d-202fe8e5c35b
Get Together,1969-07-26,The Youngbloods,44,64,44,13,bc6db568-79d6-460d-ba4d-78a8946e60d6
But It's Alright,1969-07-26,J.J. Jackson,45,45,22,23,2646b893-79d2-46c3-9d56-df17ae0a7209
I'd Rather Be An Old Man's Sweetheart (Than A Young Man's Fool),1969-07-26,Candi Staton,46,46,46,6,9013a829-c3cf-4d7b-b62d-9e19350e13d1
Clean Up Your Own Back Yard,1969-07-26,Elvis Presley,47,54,47,4,1dcf36eb-132d-43bd-b7b8-95aa1361a12a
Mrs. Robinson,1969-07-26,Booker T. & The MG's,52,40,37,8,66f5820c-127f-401b-8dbd-756dad81e8c8
So I Can Love You,1969-07-26,The Emotions,53,39,39,10,eba6bc6c-a594-4403-8089-075d217f046a
"Don't Wake Me Up In The Morning, Michael",1969-07-26,Peppermint Rainbow,54,60,54,7,aa7ff93f-3276-423e-93c0-bde41e0cf0ed
Muddy River,1969-07-26,Johnny Rivers,55,56,55,5,75a14558-e668-4632-9cab-488fe252072b
Lay Lady Lay,1969-07-26,Bob Dylan,56,93,56,3,c9aa4fad-5fff-403d-a69f-71b15ddee4d0
Marrakesh Express,1969-07-26,"Crosby, Stills & Nash",57,86,57,2,3ee06f09-8d0b-4f75-8236-80a2338a27ac
Tell All The People,1969-07-26,The Doors,58,58,58,7,83767941-fe6e-4945-9426-32ec89242054
Girl You're Too Young,1969-07-26,Archie Bell & The Drells,59,59,59,6,3878f452-e6f2-4de5-9b75-4b46ab948c6c
Hurt So Bad,1969-07-26,The Lettermen,60,67,60,9,044747f6-e1d4-4dfd-9931-d29b67273c75
True Grit,1969-07-26,Glen Campbell,61,,61,1,57be986b-e254-4e32-b2a0-a6bbd1ff8f0e
Give Peace A Chance,1969-07-26,Plastic Ono Band,62,,62,1,066111ff-e80a-4fac-8ff1-1b4a7f80c1a4
Did You See Her Eyes,1969-07-26,The Illusion,63,76,63,4,ec6d04d1-bd94-4b18-9d7f-b31c5f8cd2c1
Soul Deep,1969-07-26,The Box Tops,64,74,64,4,ac328aaa-ba36-4b10-a7c2-8a48ff709ca4
The Feeling Is Right,1969-07-26,Clarence Carter,65,65,65,6,e42842b4-7f76-47e0-9b9b-14a355789297
I've Lost Everything I've Ever Loved,1969-07-26,David Ruffin,66,73,66,2,00087127-6fc0-4dbe-87fb-e587a30a4729
The Nitty Gritty,1969-07-26,Gladys Knight And The Pips,72,88,72,2,f2499187-279a-419b-ae4d-dcda0f889b0d
The Girl I'll Never Know (Angels Never Fly This Low),1969-07-26,Frankie Valli,73,55,52,7,37572c03-a691-46b6-836c-790381866eac
Listen To The Band,1969-07-26,The Monkees,75,63,63,8,ef8f942a-f7b9-4955-9e7d-bb89c55a4803
Birthday,1969-07-26,Underground Sunshine,76,100,76,2,48659b9c-2128-483b-a133-f5bbfd342037
Willie & Laura Mae Jones,1969-07-26,Dusty Springfield,78,78,78,3,7f947077-85e9-44c6-8774-4c458650078f
Forever,1969-07-26,Mercy,79,80,79,5,6cd9bf66-b33e-4508-ae9c-e6358fcf06d2
Abergavenny,1969-07-26,Shannon,81,89,81,3,7fe20180-e07a-4ca0-aee5-3c820f00127c
Stay And Love Me All Summer,1969-07-26,Brian Hyland,82,82,82,3,326fd373-2408-4b9d-b1bb-38302476b4ba
Don't Tell Your Mama (Where You've Been),1969-07-26,Eddie Floyd,84,85,84,5,2e55904f-b862-4238-83b0-1e6e734efb76
I'm Free,1969-07-26,The Who,85,90,85,2,788787b8-be47-43e4-98bf-273c7b0121cd
I'll Never Fall In Love Again,1969-07-26,Tom Jones,86,,49,8,0fb7b9c2-1dfb-44b8-a766-26ec4b41be84
"Sugar, Sugar",1969-07-26,The Archies,91,,91,1,3adda30e-400a-4446-b535-2c154a2c413f
Everybody Knows Matilda,1969-07-26,Duke Baxter,92,,92,1,4605ac27-3996-4e97-afc0-7f8ada7112e0
First Hymn From Grand Terrace,1969-07-26,Mark Lindsay,93,,93,1,7f651dfe-8a2e-41ac-92ff-5d58d0f81747
Let Yourself Go,1969-07-26,The Friends Of Distinction,94,,94,1,cc9c1432-0ba9-4c32-a7e0-ac122b2e7781
That's The Way,1969-07-26,Joe Tex,95,95,95,2,317d5a2f-618d-4147-b70a-dffe67eaf2c7
"Love Theme From ""Romeo And Juliet"" (A Time For Us)",1969-07-26,Johnny Mathis,96,,96,1,c2898841-dd2c-4696-9d78-47095cd82d3f
Pass The Apple Eve,1969-07-26,B.J. Thomas,97,98,97,3,ba7f9ae3-ade8-43fd-a606-d7d03c6c42ab
Ease Back,1969-07-26,The Meters,98,,98,1,51c0469f-1aee-40fc-80ec-e37f972b47d0
"Out Of Sight, Out Of Mind",1969-07-26,Little Anthony And The Imperials,99,,99,1,5ccbe1e5-5f11-41bb-91e3-34e30683b494
In The Year 2525,1969-08-02,Zager & Evans,1,1,1,7,e001c68c-5209-4d97-9c01-b805604c5b7c
Crystal Blue Persuasion,1969-08-02,Tommy James And The Shondells,2,2,2,9,a53316b4-4f9c-4e30-9bbb-3d2431a607bd
Spinning Wheel,1969-08-02,"Blood, Sweat & Tears",3,3,2,10,98399994-9ab7-46ec-a8c7-9ebbd74230e3
My Cherie Amour,1969-08-02,Stevie Wonder,4,4,4,10,9c0f7e69-da9d-46ce-a679-59118b806475
What Does It Take (To Win Your Love),1969-08-02,Jr. Walker & The All Stars,5,5,5,12,5e0474f5-ee34-424f-8c03-b1b121f10608
The Ballad Of John And Yoko,1969-08-02,The Beatles,10,8,8,8,05ed9f4a-738a-4a2c-9fbe-9fc7ce6cab31
Color Him Father,1969-08-02,The Winstons,12,12,7,11,e5a5fb74-9fea-4a74-be20-3aade5b1ab4a
My Pledge Of Love,1969-08-02,The Joe Jeffrey Group,14,14,14,9,f13520af-ed9d-4c25-81fd-67f75b7c918f
Good Morning Starshine,1969-08-02,Oliver,15,6,3,11,7f385453-13b5-4db1-bce0-d9b59afbeefa
Love Theme From Romeo & Juliet,1969-08-02,Henry Mancini And His Orchestra,16,10,1,13,89405935-fddd-44ea-8309-12f727d69e6c
One,1969-08-02,Three Dog Night,17,7,5,14,53372716-d57b-4488-9d1b-37c7c20ea901
Polk Salad Annie,1969-08-02,Tony Joe White,18,22,18,5,be9d1004-3aff-4c75-b5bd-99f3e233d9e4
"Yesterday, When I Was Young",1969-08-02,Roy Clark,19,21,19,8,a6d06b4e-d3d9-4b9f-95c5-cf1dee094d7b
A Boy Named Sue,1969-08-02,Johnny Cash,20,42,20,2,309962e2-b22a-41ca-ad01-bdd00797cbf1
Bad Moon Rising,1969-08-02,Creedence Clearwater Revival,22,16,2,14,6a0225b0-0d6c-4b61-9bc5-0304edd2180a
Love Me Tonight,1969-08-02,Tom Jones,23,20,13,11,019135ad-7443-4740-bbb2-a64832c1771a
Choice Of Colors,1969-08-02,The Impressions,24,29,24,6,370ca19a-4c7d-4b46-b383-3d89d5444020
Get Together,1969-08-02,The Youngbloods,29,44,29,14,e6b0351c-7c57-4384-9299-97827367a883
I Turned You On,1969-08-02,The Isley Brothers,30,30,23,10,f7b4f4c5-0e70-4222-a9dc-662d7decc16f
Too Busy Thinking About My Baby,1969-08-02,Marvin Gaye,31,17,4,15,2fe849be-2436-4f62-a4df-aed9998aa193
Doggone Right,1969-08-02,Smokey Robinson & The Miracles,32,32,32,7,a82b8ffd-8b1c-4758-beab-52a5638d81f4
Moody Woman,1969-08-02,Jerry Butler,33,24,24,10,c9482beb-c9d4-4e2d-a741-4826eab47172
Black Pearl,1969-08-02,"Sonny Charles And The Checkmates, Ltd.",34,18,13,13,1e8cdb96-2355-430c-88a8-75d4d1aa07ca
Lay Lady Lay,1969-08-02,Bob Dylan,35,56,35,4,abd20d66-d0e0-4c88-9a13-a76dac5f5165
It's Getting Better,1969-08-02,Mama Cass,36,49,36,9,11f83b12-fdf8-4656-a768-26c970f087a0
Clean Up Your Own Back Yard,1969-08-02,Elvis Presley,37,47,37,5,d34c53c7-f19b-412a-b78e-62aa2f56d020
Marrakesh Express,1969-08-02,"Crosby, Stills & Nash",38,57,38,3,33f07105-ff49-4461-a5ec-8631d9c41985
I'd Wait A Million Years,1969-08-02,The Grass Roots,41,43,41,5,5dec74da-56e9-480d-bf80-4659be06dbe2
Workin' On A Groovy Thing,1969-08-02,The 5th Dimension,42,50,42,3,469a2dcf-d808-4ea3-9754-678eee239e94
Give Peace A Chance,1969-08-02,Plastic Ono Band,43,62,43,2,10f616bc-39c1-434c-9f79-455a430b1aed
The Days Of Sand And Shovels,1969-08-02,Bobby Vinton,49,48,34,8,0023cafa-834d-422d-8ef3-bf0fef0fa12e
Soul Deep,1969-08-02,The Box Tops,50,64,50,5,ac328aaa-ba36-4b10-a7c2-8a48ff709ca4
Muddy River,1969-08-02,Johnny Rivers,51,55,51,6,75a14558-e668-4632-9cab-488fe252072b
I'll Never Fall In Love Again,1969-08-02,Tom Jones,52,86,49,9,0fb7b9c2-1dfb-44b8-a766-26ec4b41be84
I'd Rather Be An Old Man's Sweetheart (Than A Young Man's Fool),1969-08-02,Candi Staton,53,46,46,7,9013a829-c3cf-4d7b-b62d-9e19350e13d1
"Don't Wake Me Up In The Morning, Michael",1969-08-02,Peppermint Rainbow,54,54,54,8,aa7ff93f-3276-423e-93c0-bde41e0cf0ed
Share Your Love With Me,1969-08-02,Aretha Franklin,55,,55,1,46e9da61-5b15-47a1-8124-33378a5bc05b
Birthday,1969-08-02,Underground Sunshine,56,76,56,3,06ff413b-461a-4ac0-ba5f-2e2862a0e797
Tell All The People,1969-08-02,The Doors,57,58,57,8,7a8584ce-2391-4c1b-b94c-3c84bc1505fa
Did You See Her Eyes,1969-08-02,The Illusion,58,63,58,5,84f1d137-1a47-4938-bcc6-7b311163b246
I'm Free,1969-08-02,The Who,60,85,60,3,582774f3-8c29-459b-bdce-2514932f6697
Your Good Thing (Is About To End),1969-08-02,Lou Rawls,61,87,61,3,c6176cab-f02a-4744-96d1-708b58c8250c
Hey Joe,1969-08-02,Wilson Pickett,62,68,62,4,67515589-7e68-4903-bf42-1d9cd7a8ea8f
Break Away,1969-08-02,The Beach Boys,63,67,63,5,6b5e8acd-e31c-4f14-926f-55376003e01e
Everybody Knows Matilda,1969-08-02,Duke Baxter,69,92,69,2,1fb8f356-915c-426d-baff-7fd0ac8a9728
Green River,1969-08-02,Creedence Clearwater Revival,70,,70,1,43df1ede-fc18-478a-89d1-3fdf88914bca
Commotion,1969-08-02,Creedence Clearwater Revival,71,,71,1,eb8b96cb-47c6-4068-8cda-d19f6d2cd18c
Abergavenny,1969-08-02,Shannon,72,81,72,4,7fe20180-e07a-4ca0-aee5-3c820f00127c
Till You Get Enough,1969-08-02,The Watts 103rd Street Rhythm Band,74,88,74,3,62faa42b-9a15-4edb-8b27-1ff739276d94
Don't Tell Your Mama (Where You've Been),1969-08-02,Eddie Floyd,75,84,75,6,2e55904f-b862-4238-83b0-1e6e734efb76
Ease Back,1969-08-02,The Meters,76,98,76,2,5ba2d379-c428-42b1-99e0-64dc81dfee53
Nobody But You Babe,1969-08-02,Clarence Reid,77,,77,1,02a04563-6eb3-4338-936c-0f3ead2f675f
Jack And Jill,1969-08-02,Tommy Roe,78,89,78,3,cc7b8051-adce-4097-904a-cc305a8ac637
Odds And Ends,1969-08-02,Dionne Warwick,79,90,79,2,c0d06f88-9ffc-4e9e-9c1c-41c0e6e96f7c
Nothing Can Take The Place Of You,1969-08-02,Brook Benton,80,,80,4,b62c73e1-97b5-42bb-a8db-de10ca5991f9
Simple Song Of Freedom,1969-08-02,Tim Hardin,81,,81,1,52407e67-075c-42f9-a309-c14226b0ce23
First Hymn From Grand Terrace,1969-08-02,Mark Lindsay,83,93,83,2,7f651dfe-8a2e-41ac-92ff-5d58d0f81747
The Young Folks,1969-08-02,Diana Ross & The Supremes,88,,88,1,15b5c77d-1972-4fbd-ad58-a22b9d725ac7
In My Room,1969-08-02,Sagittarius,89,,89,1,520aa285-4fc2-4bb5-8302-af911af41127
By The Time I Get To Phoenix,1969-08-02,The Mad Lads,90,,90,1,70203249-8603-465c-b9bb-9f4af0a60f3e
Keem-O-Sabe,1969-08-02,The Electric Indian,91,,91,1,e99c1c61-87a5-4878-8eaf-ccffb710ce3e
Let's Call It A Day Girl,1969-08-02,Bobby Vee,92,,92,1,b68dd4a9-1896-4463-8a11-067fa0020b84
The Hunter,1969-08-02,Ike & Tina Turner,93,,93,1,4fc778f1-39da-4311-a196-3aa914fa1ec6
That's The Way,1969-08-02,Joe Tex,94,95,94,3,317d5a2f-618d-4147-b70a-dffe67eaf2c7
You Made A Believer (Out Of Me),1969-08-02,Ruby Andrews,96,,96,1,d69882ca-7948-48d1-a2e7-5ba1fc8b20e5
Let Me Be The Man My Daddy Was,1969-08-02,The Chi-lites,97,,97,1,2b650293-2475-48fa-8ac3-84647348e6e9
"Out Of Sight, Out Of Mind",1969-08-02,Little Anthony And The Imperials,98,99,98,2,5ccbe1e5-5f11-41bb-91e3-34e30683b494
In A Moment,1969-08-02,The Intrigues,100,,100,1,f2b25797-a7f5-4a83-b5f2-87632b03f01b
In The Year 2525,1969-08-09,Zager & Evans,1,1,1,8,d88b0fd7-923f-49f0-958d-1c0fc3376c49
Crystal Blue Persuasion,1969-08-09,Tommy James And The Shondells,2,2,2,10,a53316b4-4f9c-4e30-9bbb-3d2431a607bd
A Boy Named Sue,1969-08-09,Johnny Cash,7,20,7,3,3ac0d8b4-0ffc-4330-af1a-d54d5cf779e2
My Cherie Amour,1969-08-09,Stevie Wonder,8,4,4,11,97154660-c10b-438a-a4d8-fe2309a400fc
Put A Little Love In Your Heart,1969-08-09,Jackie DeShannon,9,25,9,7,ce672b84-9143-40e4-a561-33bb959bf386
"Baby, I Love You",1969-08-09,Andy Kim,10,9,9,12,6d9dbd3c-cc49-4a80-80c1-fc301b4929e7
Spinning Wheel,1969-08-09,"Blood, Sweat & Tears",11,3,2,11,1728512a-337f-4ffa-8dbf-bb0f9dfb59cd
Polk Salad Annie,1969-08-09,Tony Joe White,14,18,14,6,a37843a7-ceab-4971-8814-98c2deebc610
Color Him Father,1969-08-09,The Winstons,15,12,7,12,ea7f0f7b-07ca-477a-acf0-56e1074d2883
My Pledge Of Love,1969-08-09,The Joe Jeffrey Group,16,14,14,10,a1e07099-fa4f-4a62-bc95-109e49018d0c
Good Morning Starshine,1969-08-09,Oliver,17,15,3,12,7f385453-13b5-4db1-bce0-d9b59afbeefa
One,1969-08-09,Three Dog Night,18,17,5,15,53372716-d57b-4488-9d1b-37c7c20ea901
Lay Lady Lay,1969-08-09,Bob Dylan,19,35,19,5,abd20d66-d0e0-4c88-9a13-a76dac5f5165
Laughing,1969-08-09,The Guess Who,20,26,20,5,4e9d0b78-45ee-4af6-b075-729700cc9461
Get Together,1969-08-09,The Youngbloods,21,29,21,15,bc6db568-79d6-460d-ba4d-78a8946e60d6
